batch_size,method, score, level, clears, time, mps, cliff_l_e, cliff_h_e, cliff_l_w, cliff_h_w, m_stack_w, m_stack_e, a_stack_w, a_stack_e, stack_d_w, stack_d_e, stack_d_thresh, score_w, go_w
5,greedy,23880,5,60.2,38.45157666,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,19180,4.6,52.4,38.89810433,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,17080,4.2,48.2,35.31735134,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,19560,4.4,51.2,36.88913636,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,14360,4.2,41.8,34.01172452,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,14280,3.6,37.6,28.56949592,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,31780,5.2,70.4,52.39342923,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,17000,4,45.2,32.23562131,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,13480,3.8,38.2,28.88860588,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,11380,3.6,35,25.8507556,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,6380,3,24.4,23.01862183,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,27620,5,64.8,42.69252739,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,20720,4.6,54,40.64167476,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,16980,4.2,46.2,37.37817459,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,15580,3.8,42.8,37.83657322,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,8540,3.2,28.8,24.24522114,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,17380,4.6,48.2,37.5227973,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,20060,4.8,54.6,34.38083425,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,20700,4.6,53.8,41.5313005,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,33980,5.6,76.6,52.36310921,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,24540,5,61.6,42.99811749,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,20460,4.8,54,40.57981071,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,32000,5.2,68.4,50.47551165,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,16740,3.6,41.8,33.41569648,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,14800,4,40.4,33.89076557,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,1600,1.8,8,13.26442642,4,1.617039444,0.896984403,0,-0.24402599,0,4.230742166,0,0,-3.006068469,2.864701488,2.444767835,2.766362664,-10
5,greedy,720,1.6,5.6,12.53387604,4,2.378680772,0.212479413,-0.049916236,0,0,3.277970007,0,0,-3.185226671,2.988729779,5.245837465,1.226610255,-10
5,greedy,120,1,1.2,5.144366884,4,2.769563941,0.942213066,0,0,0,3.624392691,0,0,-3.615584642,2.546061033,5.84203089,2.073451925,-10
5,greedy,20,1,0.2,4.171831036,4,2.691256267,1.895338942,0,0,0,3.268742639,0,0.261242678,-2.024461555,1.600336745,6.722838018,2.718296615,-10
5,greedy,20,1,0.2,4.309874582,4,1.887175559,2.477516652,0,0,0,3.908646371,0,0.170049796,-0.269780419,1.068925489,9.696259267,2.924336977,-9.898455549
5,greedy,160,1,1.4,8.0652771,4,1.927929524,1.634679166,-1.095821324,0,0,4.440600283,0,0,-0.575326681,0.260918112,6.882163348,2.093168043,-9.998391523
5,greedy,820,1.4,4.8,11.11316347,4,1.588860777,1.635604356,-2.113461787,0,0,4.80374013,0,0,0,1.180232625,8.560433574,1.469030826,-8.365939887
5,greedy,400,1.4,2.6,8.877897549,4,1.741195658,2.202432231,-3.520814366,0,0,4.77850187,0,0,0,2.059897694,11.44366181,1.955634593,-10
5,greedy,180,1,1.4,8.109519339,4,1.14942654,2.22248432,-2.299269574,0,0,5,0,0,0,1.410786565,10.94765343,2.976664533,-9.374842434
